timestamp,price,MA_7,MA_30,RSI,Daily_Change
2024-11-17 00:00:00,90606.45489380708,,,,
2024-11-18 00:00:00,89841.47194135105,,,,-0.008442918921754639
2024-11-19 00:00:00,90534.62459650292,,,,0.007715286049680525
2024-11-20 00:00:00,92251.65240738312,,,,0.01896542696822001
2024-11-21 00:00:00,94217.02229634205,,,,0.021304441033531463
2024-11-22 00:00:00,98509.11859102432,,,,0.04555542289568737
2024-11-23 00:00:00,98927.49494553401,93555.40566742064,,,0.0042470825086420305
2024-11-24 00:00:00,97679.46381643033,94565.8355135097,,,-0.012615614393054253
2024-11-25 00:00:00,98015.9355289458,95733.61602602321,,,0.0034446515098383035
2024-11-26 00:00:00,93004.70093103287,96086.48407381322,,,-0.05112673333034734
2024-11-27 00:00:00,91931.83077291827,96040.79526888966,,,-0.011535655159089053
2024-11-28 00:00:00,95981.18057210564,96292.81787971302,,,0.04404730945900237
2024-11-29 00:00:00,95661.59595817851,95886.02893216362,,,-0.003329659127156104
2024-11-30 00:00:00,97453.2473451042,95675.42213210222,,64.4567880296294,0.01872905599138197
2024-12-01 00:00:00,96513.14234698225,95508.80477932394,,61.9955614045606,-0.009646728290057194
2024-12-02 00:00:00,97311.70719084324,95408.20073102358,,65.15021845968569,0.008274156497671603
2024-12-03 00:00:00,95833.1362300365,95812.26291659551,,60.41402610519894,-0.01519417348117258
2024-12-04 00:00:00,96031.63097759831,96397.94866012123,,57.90103816759749,0.002071253799785344
2024-12-05 00:00:00,98881.4694561823,96812.27564356077,,59.402140728297546,0.029676039546269628
2024-12-06 00:00:00,97201.50036407741,97032.26198726062,,47.0539999629259,-0.016989726197883193
2024-12-07 00:00:00,99973.85150659826,97392.34829604547,,52.1313252624997,0.02852169083951117
2024-12-08 00:00:00,99781.82999198174,97859.30367390254,,54.474818421203295,-0.0019207173848239112
2024-12-09 00:00:00,101235.3717025316,98419.82717557231,,56.54140280634956,0.014567198363335976
2024-12-10 00:00:00,97353.94700820887,98637.08585816834,,59.26225282858275,-0.03834059804440537
2024-12-11 00:00:00,96649.71446771531,98725.38349961364,,60.20758293683275,-0.007233733835508183
2024-12-12 00:00:00,101123.61811033697,99045.69045020717,,60.925431199209974,0.04628987956416686
2024-12-13 00:00:00,100000.80836535197,99445.5915932464,,58.91467090401956,-0.011103338329527479
2024-12-14 00:00:00,101352.22971292294,99642.50276557848,,58.157805722691165,0.013514104232373425
2024-12-15 00:00:00,101367.01064553364,99868.95714465731,,60.56478335069385,0.00014583727119332757
2024-12-16 00:00:00,104721.50151808978,100366.97568973705,96998.27547305504,64.513157031477,0.03309253031330206
2024-12-17 00:00:00,106074.10723541168,101612.71286505174,97513.86388444186,70.15789483789413,0.012916217755799098
2024-12-18 00:00:00,106034.913402645,102953.4555700417,98053.645266485,69.81429857634554,-0.00036949481629566794
2024-12-19 00:00:00,100355.5761481501,102843.7352897293,98381.01031820656,52.62557402202787,-0.05356101186152562
2024-12-20 00:00:00,97851.35377075805,102536.67034764445,98567.66703031908,51.12445636167596,-0.024953495097224887
2024-12-21 00:00:00,97691.43431692653,102013.69957678781,98683.48076433854,45.658146811838456,-0.0016343100802281851
2024-12-22 00:00:00,97202.82496847633,101418.81590863678,98639.93764358693,45.148688592972675,-0.005001557729872985
2024-12-23 00:00:00,95094.27394862173,100043.49768442707,98512.16361035654,38.72593283171643,-0.02169228127411338
2024-12-24 00:00:00,94644.91085464321,98410.7553443173,98411.01184496364,44.30957034068716,-0.004725448497785556
2024-12-25 00:00:00,98695.71400782601,97362.29828791457,98433.67112759297,53.76795331768951,0.042800010234085084
2024-12-26 00:00:00,99344.95417367229,97217.92372013202,98645.01290234762,46.18727250573811,0.0065782002022376496
2024-12-27 00:00:00,95678.31244565405,96907.48924511718,98769.89562477215,41.64547181254733,-0.03690818279112906
2024-12-28 00:00:00,94331.94727053077,96427.56252420349,98714.92118138631,36.42853241743779,-0.01407179057310426
2024-12-29 00:00:00,95184.61945288602,96139.24745054773,98699.02196454324,38.423362233556304,0.009039060541280897
2024-12-30 00:00:00,93663.44751964067,95934.84367497901,98572.69530369443,27.76712175692694,-0.015981278719071734
2024-12-31 00:00:00,92627.28213113277,95646.61100019178,98443.1666298328,22.615907382093724,-0.01106264413650393
2025-01-01 00:00:00,93507.85874741491,94905.48882013306,98316.37168171853,25.33426637037536,0.009506665811866322
2025-01-02 00:00:00,94384.1761153871,94196.80624037803,98268.07301123021,35.499707338591236,0.009371590577636146
2025-01-03 00:00:00,96852.14681235075,94364.49686419187,98295.4235390553,47.56935608215131,0.026148140488575944
2025-01-04 00:00:00,98084.34279280754,94900.55336737425,98268.85265027614,50.90838985143019,0.012722443652634308
2025-01-05 00:00:00,98256.73876849933,95339.42755531902,98304.02726375686,52.472765158678506,0.0017576299211787827
2025-01-06 00:00:00,98364.58946599838,96011.01926194155,98250.38519573686,58.4680507990138,0.0010976417378674164
2025-01-07 00:00:00,102229.39453189743,97382.74960490792,98331.97068040073,66.68740644703064,0.03929061349089458
2025-01-08 00:00:00,96952.09886774956,97874.78390781286,98189.19491924133,46.3601378726105,-0.05162209644605942
2025-01-09 00:00:00,95016.71440989176,97965.14652131355,98111.28716596408,41.42508809742178,-0.019962274983833184
2025-01-10 00:00:00,92376.27578346101,97325.73637432928,97968.83920982227,43.18088051327165,-0.02778920154026998
2025-01-11 00:00:00,94736.6267420969,96847.49122422778,97755.93949754762,50.802120873499135,0.02555148428118903
2025-01-12 00:00:00,94559.55167224213,96319.32163904817,97574.56427444395,48.72694924502321,-0.0018691299864076472
